# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:43:23.232Z|353.78375  | +8.48928  |   CMC14|15.9 |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:43:41.376Z|353.78604  | +8.49019  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|J53 |    |2008-10-06T21:44:18.528Z|353.38262  | +8.12742  |   UCAC2|15.7 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:44:29.760Z|352.95387  | +7.88594  | USNOSA2|15.8 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:44:51.360Z|353.79483  | +8.49386  |   CMC14|16.1 |   C
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:45:12.960Z|352.95792  | +7.88642  | USNOSA2|15.8 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:45:55.296Z|352.96229  | +7.88697  | USNOSA2|15.5 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:46:38.496Z|352.96658  | +7.88758  | USNOSA2|15.6 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:47:21.696Z|352.97112  | +7.88803  | USNOSA2|15.5 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:47:36.384Z|353.81567  | +8.50256  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:48:04.896Z|352.97571  | +7.88858  | USNOSA2|15.7 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:48:47.232Z|352.97979  | +7.88922  | USNOSA2|15.8 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:49:25.248Z|353.82946  | +8.50836  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:49:30.432Z|352.98371  | +7.88964  | USNOSA2|15.9 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T21:49:46.848Z|353.11279  | +7.98875  |   CMC14|15.7 |   R
2008 TC3   | K08T03C| CCD|J53 |    |2008-10-06T21:49:57.216Z|353.42046  | +8.13731  |   UCAC2|15.4 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:50:13.632Z|352.98783  | +7.89014  | USNOSA2|15.8 |   R
2008 TC3   | K08T03C| CCD|J53 |    |2008-10-06T21:50:27.456Z|353.424    | +8.13825  |   UCAC2|15.6 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:50:36.960Z|353.83867  | +8.51228  |   CMC14|15.9 |   C
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:50:56.832Z|352.99175  | +7.89058  | USNOSA2|15.7 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T21:51:40.032Z|352.99629  | +7.89111  | USNOSA2|15.6 |   R
